,train_score,sparsity_sc,sparsity_sp,sparsity_diff
b2m,0.9351935,0.08710881688712724,0.03703703703703709,-0.05007177985009015
caly,0.93400955,0.04820942987509791,0.05246913580246915,0.004259705927371238
zbtb18,0.932496,0.26100382541365164,0.06172839506172845,-0.1992754303519232
gm10076,0.93187666,0.00931004286306858,0.04012345679012341,0.030813413927054834
cnih2,0.9316766,0.06461722818822879,0.04012345679012341,-0.02449377139810538
gm27199,0.9316717,0.9897220813937411,0.9969135802469136,0.0071914988531724955
fbxw7,0.9315671,0.06493985343595887,0.0679012345679012,0.002961381131942331
sh3bgrl3,0.9312447,0.02691616352491133,0.05246913580246915,0.025552972277557817
tusc3,0.9310965,0.0378854219477347,0.058641975308642014,0.020756553360907315
gria3,0.93105465,0.16398580448909983,0.06172839506172845,-0.10225740942737138
mobp,0.93035316,0.7647601050836521,0.043209876543209846,-0.7215502285404423
nrn1,0.9299389,0.4535189196663133,0.06172839506172845,-0.39179052460458486
slc6a1,0.92876625,0.46559432179564,0.0679012345679012,-0.3976930872277388
gda,0.9282718,0.3004101949578283,0.0679012345679012,-0.23250896038992708
morf4l2,0.9279854,0.02433516154307047,0.058641975308642014,0.03430681376557154
abcc9,0.92761517,0.9922109047333733,0.8981481481481481,-0.09406275658522512
gap43,0.9273648,0.08134765174908976,0.05555555555555558,-0.025792096193534175
nptx1,0.92725575,0.470664147117113,0.08333333333333337,-0.38733081378377965
qk,0.9262457,0.24113932801769833,0.04629629629629628,-0.19484303172140205
nrxn3,0.92537886,0.06719823017006954,0.06481481481481477,-0.00238341535525477
cnksr2,0.92418766,0.2209982946951191,0.06481481481481477,-0.15618347988030434
lancl1,0.9241524,0.02793012858920585,0.07098765432098764,0.04305752573178179
nudt4,0.92371094,0.1065585103931419,0.0679012345679012,-0.0386572758252407
sec62,0.92341495,0.004839378715951526,0.0771604938271605,0.07232111511120898
itpka,0.9231321,0.44305664377563714,0.058641975308642014,-0.3844146684669951
rbm39,0.9227495,0.0014287689542332727,0.0771604938271605,0.07573172487292723
ptprd,0.9226896,0.10075125593400014,0.0679012345679012,-0.032850021366098936
ermn,0.9222412,0.9801355026040467,0.6358024691358024,-0.3443330334682443
tspan13,0.92223114,0.039452458865280926,0.07098765432098764,0.03153519545570671
pla1a,0.92172086,0.9921187260911647,0.9753086419753086,-0.01681008411585605
bcas1,0.9211665,0.9787067336498133,0.38888888888888884,-0.5898178447609245
mal2,0.91990936,0.07484905747338344,0.0771604938271605,0.0023114363537770632
