,train_score,sparsity_sc,sparsity_sp,sparsity_diff
tpm1,0.8414066,0.0378854219477347,0.07407407407407407,0.03618865212633937
enpp2,0.8411798,0.4260035949670461,0.0864197530864198,-0.3395838418806263
gm10076,0.8409909,0.00931004286306858,0.04012345679012341,0.030813413927054834
crip2,0.8409523,0.21468405770383003,0.08950617283950613,-0.1251778848643239
gap43,0.8399345,0.08134765174908976,0.05555555555555558,-0.025792096193534175
arhgdig,0.8390337,0.07014794672074476,0.09259259259259256,0.0224446458718478
st3gal5,0.83902586,0.11457805226529016,0.11111111111111116,-0.003466941154179004
nrn1,0.83876383,0.4535189196663133,0.06172839506172845,-0.39179052460458486
brinp1,0.8387211,0.11711296492602663,0.08950617283950613,-0.027606792086520504
gad1,0.8386234,0.4456837350785823,0.058641975308642014,-0.38704175976994026
pfn1,0.838487,0.005945522422454719,0.12654320987654322,0.1205976874540885
nefm,0.8383455,0.4275706318845923,0.10185185185185186,-0.32571878003274046
araf,0.83817196,0.02000276535926626,0.08950617283950613,0.06950340748023986
scgn,0.8380789,0.9670461354104254,0.9938271604938271,0.026781025083401744
ckmt1,0.836508,0.05844125916025256,0.0864197530864198,0.027978493926167247
zbtb18,0.8348316,0.26100382541365164,0.06172839506172845,-0.1992754303519232
syt13,0.83443195,0.08084066921694244,0.0771604938271605,-0.0036801753897819367
sorl1,0.8334945,0.1929298981426003,0.12037037037037035,-0.07255952777222996
cap2,0.8323102,0.14518136147854543,0.11728395061728392,-0.027897410861261518
homer1,0.8314054,0.14490482555191964,0.10802469135802473,-0.03688013419389491
pten,0.83056825,0.02525694796515643,0.11728395061728392,0.09202700265212749
r3hdm2,0.8302194,0.07600129050099091,0.1450617283950617,0.06906043789407079
qdpr,0.82992357,0.06129879706871921,0.12345679012345678,0.06215799305473757
pde1a,0.8298889,0.38032907775268465,0.12345679012345678,-0.25687228762922787
gper1,0.8297609,0.9781536617965617,0.9506172839506173,-0.027536377845944426
egr1,0.8295453,0.25358344471585936,0.14197530864197527,-0.11160813607388409
